Sample,Nitrogen source,dilution rate (/h),glucose.H2O concentration (g/L),nitrogen source concentration (g/L),limiting nutrient,C/N ratio,experiment subset,total RNA content (g/gDW),total protein content (g/gDW),extra notes
1,NH4,0.05,7.5,0.5,N,30,GR,0.021734,0.272514714,
2,NH4,0.05,7.5,0.5,N,30,GR,0.024941,0.250820107,
3,NH4,0.05,7.5,0.5,N,30,GR,0.025831,0.2610965,
4,NH4,0.1,7.5,5,C,3,NM,0.053444,0.35967375,
5,NH4,0.1,7.5,5,C,3,NM,0.050594,0.377942893,
6,NH4,0.1,7.5,5,C,3,NM,0.045962,0.336456714,
7,NH4,0.1,7.5,0.5,N,30,"GR, NM",0.022625,0.209333929,
8,NH4,0.1,7.5,0.5,N,30,"GR, NM",0.02601,0.221513357,
9,NH4,0.1,7.5,0.5,N,30,"GR, NM",0.027257,0.245872214,
10,NH4,0.13,7.5,0.5,N,30,GR,0.026366,0.3037245,
11,NH4,0.13,7.5,0.5,N,30,GR,0.025831,0.256909821,
12,NH4,0.13,7.5,0.5,N,30,GR,0.025297,0.266425,
13,NH4,0.18,7.5,0.5,N,30,GR,0.039014,0.289261429,
14,NH4,0.18,7.5,0.5,N,30,GR,0.038658,0.282029893,
15,NH4,0.18,7.5,0.5,N,30,GR,0.037945,0.288119607,
16,NH4,0.3,7.5,0.5,N,30,GR,0.047031,0.422473929,
17,NH4,0.3,7.5,0.5,N,30,GR,0.045606,0.421332107,
18,NH4,0.3,7.5,0.5,N,30,GR,0.052019,0.3996375,
19,NH4,0.35,7.5,0.5,N,30,GR,0.073219,0.484154674,
20,NH4,0.35,7.5,0.5,N,30,GR,0.070546,0.489921983,
21,NH4,0.35,7.5,0.5,N,30,GR,0.088717,0.508864255,
22,Gln,0.1,7.5,5.53,C,5,NM,0.071259,0.497834143,"labeled ""Q"" or ""Gln"""
23,Gln,0.1,7.5,5.53,C,5,NM,0.058789,0.583851357,"labeled ""Q"" or ""Gln"""
24,Gln,0.1,7.5,5.53,C,5,NM,0.064133,0.59412775,"labeled ""Q"" or ""Gln"""
25,Gln,0.1,1.21,5.53,C,3,NM,0.055582,0.510013571,"labeled ""Q*"" or ""Gln*"""
26,Gln,0.1,1.21,5.53,C,3,NM,0.054869,0.294209321,"labeled ""Q*"" or ""Gln*"""
27,Gln,0.1,1.21,5.53,C,3,NM,0.051663,0.358912536,"labeled ""Q*"" or ""Gln*"""
28,Gln,0.1,6.87,0.55,N,30,NM,0.026366,0.205527857,
29,Gln,0.1,6.87,0.55,N,30,NM,0.022268,0.352822821,
30,Gln,0.1,6.87,0.55,N,30,NM,0.017815,0.361957393,
31,Phe,0.1,7.5,12.35,C,3,NM,0.019596,0.425138179,
32,Phe,0.1,7.5,12.35,C,3,NM,0.020309,0.520289964,
33,Phe,0.1,7.5,12.35,C,3,NM,0.018171,0.452161286,
34,Phe,0.1,7.5,1.24,N,30,NM,0.023337,0.417906643,
35,Phe,0.1,7.5,1.24,N,30,NM,0.024941,0.378704107,
36,Phe,0.1,7.5,1.24,N,30,NM,0.024406,0.398876286,
37,Ile,0.1,7.5,9.81,C,3,NM,0.029216,0.320851821,
38,Ile,0.1,7.5,9.81,C,3,NM,0.034739,0.418667857,
39,Ile,0.1,7.5,9.81,C,3,NM,0.030641,0.331508821,
40,Ile,0.1,7.5,0.98,N,30,NM,0.024762,0.439981857,
41,Ile,0.1,7.5,0.98,N,30,NM,0.021912,0.448355214,
42,Ile,0.1,7.5,0.98,N,30,NM,0.024762,0.42361575,
