AA,X4,X5,X6,X7,X8,X9,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42
Ala,38.55787477,34.51712036,39.53406147,4.135862707,4.143028735,3.919669069,19.011516,20.24399898,18.20557481,20.39072705,15.98275599,20.01093191,3.056522847,2.778232918,3.621466507,42.52699257,45.06518738,37.94754053,12.63160871,10.89809471,13.21640138,26.91199608,25.78729766,27.6911408,7.749720482,10.14737593,7.73164466
Arg,15.98775423,16.64758283,14.78386167,1.618488589,1.702661231,1.76050261,11.87190061,13.42430589,11.80327416,23.67510412,16.22591891,24.07994479,0.74509368,0.509654141,0.918754601,0.80076802,0.993502687,0.594626957,0.805873704,0.743292134,0.573476291,3.230629668,3.166030186,3.264427528,1.091069813,1.121169774,1.115170604
Asn,12.99503664,13.66573868,12.52855723,1.841455912,2.431560564,1.724942864,5.86751436,5.915926548,5.562781158,12.96904873,10.94717338,12.14004352,1.940781564,1.623394105,2.002026379,2.46427981,2.559527354,2.306105978,1.697089411,2.026103161,1.713832467,4.632170807,4.448802494,4.743643888,1.858458653,2.059434879,2.083464408
Asp,14.43853316,15.76829586,16.74151944,8.081768481,7.620117618,7.172190843,9.812421372,9.69026381,8.489292913,5.917161358,5.343524782,7.076980026,6.897516812,6.400058757,7.969488331,21.52035508,23.70287034,19.61650018,15.31734584,12.49837737,12.72289629,17.26510682,16.71779273,16.87514308,13.62831837,14.64976913,13.20698562
Gln,19.2030639,20.65677564,18.93004573,1.409218469,2.518518751,1.334361553,249.424098,245.0472848,229.2531705,1326.339665,1075.567267,1236.607904,2.677028409,2.3304272,2.92246888,5.656822031,6.176850683,4.691157937,2.416757531,2.192485145,1.973359996,13.51467429,10.21335849,13.81394997,2.047079053,2.461781037,1.894153522
Glu,215.8256854,217.328625,235.7311441,65.32812991,59.10978506,60.55131827,107.4297419,106.0895697,101.6343858,140.8124611,111.7179935,139.8038214,51.06162685,42.80661808,58.08509131,134.8605966,149.0706235,119.1594575,132.6287497,111.7674347,114.3316958,120.3165214,111.8702323,114.2277261,60.97717376,71.88812403,60.0177835
Gly,2.382775119,NA,NA,1.063700261,NA,NA,1.762748297,1.934299707,1.602250677,4.543992583,4.135833689,3.980155389,0.397696664,0.310530661,0.438640465,1.258558455,1.36889225,1.238277442,0.639539941,0.449414713,0.541936617,1.678346218,1.700241812,1.614715298,0.632489914,0.864506002,0.58909266
His,13.21505405,13.88077268,14.36975371,3.315123391,3.275642741,3.074201862,11.42711753,11.3086411,10.94708667,14.16751662,12.86990963,15.59052537,4.080923759,3.752139768,4.25252452,10.33081284,11.6766741,8.88390637,10.01206801,8.096139116,8.300275502,10.1903058,9.302944731,9.288774501,5.015623661,5.4879882,4.947072593
Ile,1.684270642,1.632483467,1.645488001,0.276938702,0.279967946,0.330615323,1.043684503,1.034916452,1.013770123,2.6044495,2.099998409,2.535288306,NA,NA,NA,1.013002036,0.980327579,0.886889121,NA,NA,NA,240.4631067,262.7708414,250.9875129,14.38742316,16.73608728,13.66271063
Leu,NA,NA,NA,NA,NA,NA,6.096872009,5.838063844,5.735761711,20.17306899,15.68479111,17.43962338,11.09521509,10.05223637,10.93556546,10.82212054,11.95601388,10.25147914,12.96665093,12.86936762,12.89045615,NA,NA,NA,10.87618874,12.38782897,12.14425622
Lys,1.95492768,1.90068867,1.692701251,0.937111045,0.88206474,0.853726125,4.26562594,4.461082523,4.023484043,13.13192878,8.523712139,9.818151058,1.431084051,1.180527906,1.606765888,0.935913684,1.061420934,0.744582787,1.187790718,0.724077973,0.567831054,3.234034775,3.354021001,3.303847924,1.480874346,1.976774474,1.523816916
Phe,1.41379635,1.245094273,1.248377698,0.195499436,0.185270927,0.258921426,0.822375055,0.919523329,0.785499867,0.911348099,0.72090447,1.063318584,0.317336107,0.300460461,0.308365647,319.2526871,335.1987909,272.5953207,5.687132348,3.864389916,5.57286276,0.707321524,0.64202586,0.838734096,0.239593749,0.353432261,0.383179314
Pro,2.895240912,2.711519494,3.07000568,0.567455931,0.611395994,0.544995667,4.34724544,4.653164334,4.155944306,6.773026469,5.520605239,6.870865012,0.776854086,0.719386521,0.895347903,5.764253993,5.565013531,4.546596335,2.443149883,1.963162031,2.234314724,2.355458421,2.272446351,2.337970357,0.858936005,1.115287553,0.862472029
Ser,3.650784471,3.071401157,3.215920494,0.973534363,0.995470782,0.968961196,3.615115706,3.963491136,3.498410729,7.77352664,6.368814907,7.413633559,0.988057649,0.833348648,1.1351268,3.169826315,3.537177437,2.816139173,1.541419352,1.259453982,1.35202612,2.694834735,2.689183142,2.841456034,1.357761784,1.642046335,1.279327382
Thr,3.662711509,3.559204096,3.770849143,1.272726163,1.251601683,1.374856154,2.92050917,2.900130073,2.815109847,6.379059797,5.479145624,5.522590659,1.441120119,1.378789058,1.621315686,10.19052637,10.54441837,9.342429472,3.165896384,2.53994628,3.105836035,8.132024604,7.924204115,7.909377853,3.25842659,3.485133817,3.047200278
Trp,0.447096394,0.414039414,0.406033478,0.039764297,0.061606257,0.074046679,0.269196262,0.298805961,0.272851095,0.38379615,0.333121424,0.435398398,0.033963489,0.015342244,0.033036913,0.293774848,0.374610399,0.275669351,0.05179114,0.041897333,0.046020931,0.11803673,0.110565056,0.118739407,0.024062378,0.030542421,0.047411052
Tyr,1.828272927,1.867535262,1.751941402,0.192065687,0.229386452,0.317087874,1.009041476,0.997096631,0.97802913,0.964641066,0.774319921,1.317841259,0.224872933,0.189679947,0.229898647,1.470532242,1.498654926,1.196375007,0.238319472,0.196700378,0.246457178,0.889517461,0.893154487,0.99091227,0.231752767,0.290071914,0.218420876
Val,10.43207166,9.790772405,10.30355706,2.346140243,2.202630829,2.269387422,7.757385837,6.684568537,6.981960818,13.15573302,9.066048301,12.48679319,1.439427565,1.623858232,1.959237546,6.409220765,6.04419204,4.589931667,2.360728897,2.104384502,2.303357018,12.84698422,12.84513974,12.56935561,3.991282329,4.140163691,3.550217971
