sample,qGlucose (mmol/gDW h),qNH4 (mmol/gDW h),qGln (mmol/gDW h),qPhe (mmol/gDW h),qIle (mmol/gDW h),qNitrogen (mmol/gDW h),qEtOH (mmol/gDW h),qAce (mmol/gDW h),qPyr (mmol/gDW h),qSuc (mmol/gDW h),qGlycerol (mmol/gDW h),qCO2 (mmol/gDW h),qO2 (mmol/gDW h)
1,0.823,0.131,,,,0.131,0,0,0.000723085,0,0.004028588,2.445,2.362
2,0.704,0.087,,,,0.087,0,0,0.000165839,0,0.006679617,2.105,2.276
3,0.768,0.14,,,,0.14,0,0,0.000381541,0,0.009782316,2.383,1.624
4,1.18,2.203,,,,2.203,0,0,0.000127955,0,0,1.93,2.44
5,1.127,2.098,,,,2.098,0.016766475,0,0.00015727,0,0,2.07,2.39
6,1.098,2.055,,,,2.055,0,0,0.000134221,0,0,1.97,2.18
7,1.51,0.308,,,,0.308,0,0.075614127,0.01798235,0,0,3.466,3.616
8,1.511,0.308,,,,0.308,0,0.049087043,0.0138432,0,0,3.136,3.522
9,1.489,0.304,,,,0.304,0,0.066037848,0.01602926,0,0,3.161,3.824
10,2.019,0.415,,,,0.415,0.14387805,0.23128044,0.024418573,0.000738944,0.042122905,5.51,5.252
11,2.059,0.425,,,,0.425,0.139168113,0.22761731,0.025077986,0.002152588,0.033899712,5.374,4.546
12,2.135,0.438,,,,0.438,0.132675625,0.257277921,0.02612113,0,0.041071207,5.302,5.07
13,3.266,0.669,,,,0.669,1.281386995,0.180481388,0.032745818,0,0.005645284,7.262,5.42
14,3.202,0.659,,,,0.659,1.487079728,0.415156723,0.03127225,0.002696948,0.016418242,7.305,6.017
15,2.83,0.581,,,,0.581,1.069367508,0.184249429,0.02652065,0,0.015674207,6.251,5.264
16,7.991,1.648,,,,1.648,7.04413471,0.312510378,0.05169222,0.011339925,0,14.086,8.301
17,8.276,1.695,,,,1.695,6.684725449,0.272295364,0.044478276,0.034668667,0,15.111,8.387
18,8.932,1.866,,,,1.866,8.212421889,0.617189232,0.064337544,0.02948128,0,16.956,9.34
19,12.937,2.712,,,,2.712,11.92730696,0.472694266,0.089757967,0.035944587,0,20.902,12.682
20,13.23,2.786,,,,2.786,12.12470377,0.636926,0.104193063,0.03377089,0,21.083,12.354
21,13.096,2.742,,,,2.742,11.84780602,0.477342597,0.091823417,0,0,21.098,12.977
22,0.827,,0.747,,,1.493,0,0,0.008756173,0,0,2.769,2.45
23,0.788,,0.712,,,1.423,0,0,0.005518269,0,0,2.717,2.353
24,0.767,,0.691,,,1.382,0,0,0.001990255,0,0,2.574,2.25
25,0.807,,4.92,,,9.839,0,0,0.039436786,0,0.013630472,3.032,1.775
26,0.649,,3.962,,,7.924,0,0,0.030460815,0,0.009506145,1.959,1.623
27,0.765,,4.616,,,9.232,0,0,0.025119713,0,0,2.569,1.291
28,1.381,,0.158,,,0.317,0.018073279,0.078381014,0.867134143,0.005456444,0.046616213,4.321,3.883
29,1.259,,0.142,,,0.284,0,0.034333114,0.691584157,0,0.045041784,3.93,3.396
30,1.3,,0.149,,,0.298,0,0.076426069,0.842623395,0.005663179,0.041991897,4.077,3.334
31,1.485,,,2.862,,2.862,0,0,0.063162172,0,0,5.711,5.604
32,1.6,,,3.084,,3.084,0,0,0.074209667,0,0,6.039,5.869
33,1.435,,,2.763,,2.763,0,0,0.074921514,0,0,5.32,5.079
34,1.678,,,0.334,,0.334,0,0,0.271178742,0,0,5.724,5.908
35,1.693,,,0.337,,0.337,0,0,0.307169286,0,0,5.972,5.29
36,1.647,,,0.327,,0.327,0,0,0.203970843,0,0,6.131,5.69
37,1.479,,,,2.919,2.919,0.064434642,0,0.165599332,0,0.004873699,4.787,4.561
38,1.633,,,,3.2,3.2,0,0,0.156217087,0,0,5.138,4.909
39,1.571,,,,3.083,3.083,0.064504826,0,0.150373555,0,0.005596462,4.961,4.549
40,1.451,,,,0.292,0.292,0.165977836,0.066479359,0.6081929,0,0.02572525,4.18,4.013
41,1.709,,,,0.339,0.339,0.06017435,0.078079274,0.668678714,0,0.035868013,4.902,4.45
42,1.622,,,,0.329,0.329,0.183622901,0.16825845,0.922716346,0,0.048272587,4.562,4.23
